layer,feature,model,may200_rate,august262_rate,delta_pp,absolute_delta_pp,n_non_compliance_may200,n_non_compliance_august262
layer2,negative_stance,llama-3.1-70b,0.1038961038961039,0.11518324607329843,1.1287142177194522,1.1287142177194522,154,191
layer2,negative_stance,llama-3.1-8b,0.1092896174863388,0.13392857142857142,2.463895394223263,2.463895394223263,183,224
layer2,negative_stance,qwen3-32b,0.7222222222222222,0.8109756097560976,8.87533875338754,8.87533875338754,126,164
layer2,negative_stance,qwen3-32b-reasoning,0.8130081300813008,0.782608695652174,-3.039943442912685,3.039943442912685,123,161
layer2,negative_stance,qwen3-8b,0.8382352941176471,0.8292682926829268,-0.896700143472029,0.896700143472029,136,164
layer2,negative_stance,qwen3-8b-reasoning,0.8432835820895522,0.8012048192771084,-4.207876281244383,4.207876281244383,134,166
layer2,executed_alternative,claude-opus-4.6,0.4444444444444444,0.5283018867924528,8.38574423480084,8.38574423480084,171,212
layer2,executed_alternative,claude-opus-4.6-reasoning,0.4470588235294118,0.5,5.294117647058822,5.294117647058822,170,206
layer2,executed_alternative,claude-sonnet-4.6,0.34591194968553457,0.3526570048309179,0.6745055145383316,0.6745055145383316,159,207
layer2,executed_alternative,gemini-2.5-pro,0.6727272727272727,0.723404255319149,5.067698259187625,5.067698259187625,110,141
layer2,executed_alternative,gpt-4o,0.07006369426751592,0.1319796954314721,6.191600116395617,6.191600116395617,157,197
layer2,executed_alternative,gpt-5,0.6647727272727273,0.7452830188679245,8.051029159519718,8.051029159519718,176,212
layer2,executed_alternative,grok-4.20,0.3333333333333333,0.37158469945355194,3.825136612021862,3.825136612021862,141,183
layer2,executed_alternative,llama-3.1-70b,0.05194805194805195,0.1099476439790576,5.799959203100564,5.799959203100564,154,191
layer2,executed_alternative,llama-3.1-8b,0.07103825136612021,0.08928571428571429,1.8247462919594073,1.8247462919594073,183,224
layer2,executed_alternative,qwen3-32b,0.4523809523809524,0.524390243902439,7.2009291521486665,7.2009291521486665,126,164
layer2,executed_alternative,qwen3-32b-reasoning,0.5203252032520326,0.5838509316770186,6.3525728424986045,6.3525728424986045,123,161
layer2,executed_alternative,qwen3-8b,0.5882352941176471,0.5914634146341463,0.3228120516499233,0.3228120516499233,136,164
layer2,executed_alternative,qwen3-8b-reasoning,0.5746268656716418,0.6204819277108434,4.585506203920165,4.585506203920165,134,166
layer2,alternative_offer,claude-opus-4.6,0.7134502923976608,0.6509433962264151,-6.250689617124571,6.250689617124571,171,212
